"","Total Number of reads for each species across all samples"
"Spirosoma rigui",864
"Spirosoma sp. CJU-R4",850
"Spirosoma sp. KCTC 42546",796
"Spirosoma sp. KCTC 72228",752
"Spirosoma sp. KNUC1025",16
"Spirosoma sp. KUDC1026",676
"Spirosoma sp. RHs26",604
"Spirosoma taeanense",644
"Flammeovirga kamogawensis",428
"Flammeovirga pectinis",537
"Flammeovirga sp. MY04",490
"Flammeovirga yaeyamensis",666
"Chryseolinea soli",1348
"Fulvivirga lutea",318
"Fulvivirga sp. SS9-22",586
"Fulvivirga sp. SW1-E11",380
"Fulvivirga sp. W9P-11",441
"Adhaeribacter radiodurans",580
"Adhaeribacter swui",446
"Hymenobacter baengnokdamensis",603
"Hymenobacter busanensis",938
"Hymenobacter jejuensis",876
"Hymenobacter nivis",918
"Hymenobacter oligotrophus",702
"Hymenobacter qilianensis",774
"Hymenobacter radiodurans",2105
"Hymenobacter sedentarius",1148
"Hymenobacter sp. APR13",1409
"Hymenobacter sp. BRD128",1026
"Hymenobacter sp. BRD67",448
"Hymenobacter sp. BT18",872
"Hymenobacter sp. DG01",1230
"Hymenobacter sp. DG25A",526
"Hymenobacter sp. DG25B",478
"Hymenobacter sp. HDW8",1408
"Hymenobacter sp. NBH84",1188
"Hymenobacter sp. PAMC 26554",966
"Hymenobacter sp. PAMC 26628",972
"Hymenobacter sp. S2-20-2",734
"Hymenobacter sp. TS19",760
"Hymenobacter swuensis",866
"Nibribacter ruber",1013
"Pontibacter actiniarum",1164
"Pontibacter akesuensis",578
"Pontibacter korlensis",706
"Pontibacter pudoricolor",472
"Pontibacter russatus",1644
"Pontibacter sp. SGAir0037",773
"Rufibacter radiotolerans",1024
"Rufibacter sp. DG15C",1401
"Rufibacter tibetensis",708
"Mangrovivirga cuniculi",356
"Marivirga tractuosa",1294
"Arcticibacterium luteifluviistationis",654
"Dyadobacter fermentans",1598
"Dyadobacter sandarakinus",910
"Dyadobacter sp. NIV53",650
"Fibrella aestuarina",1138
"Fibrella sp. ES10-3-2-2",776
"Larkinella sp. IE-0392",646
"Leadbetterella byssophila",783
"Runella rosea",784
"Runella slithyformis",1234
"Runella sp. SP2",552
"Blattabacterium clevelandi",10
"Blattabacterium cuenoti",3368
"Blattabacterium punctulatus",177
"Blattabacterium sp. (Blaberus giganteus)",25
"Blattabacterium sp. (Blattella germanica)",21
"Blattabacterium sp. (Cryptocercus kyebangensis)",10
"Blattabacterium sp. (Mastotermes darwiniensis)",54
"Blattabacterium sp. DPU",46
"Crocinitomix sp. GM2_3_6_6",340
"Fluviicola taffensis",504
"Aegicerativicinus sediminis",458
"Aequorivita sp. H23M31",396
"Aequorivita sublithincola",567
"Aggregatimonas sangjinii",252
"Algibacter alginicilyticus",442
"Algibacter sp. L1A34",276
"Algibacter sp. L3A6",311
"Amniculibacterium sp. G2-70",894
"Antarcticibacterium arcticum",316
"Antarcticibacterium flavum",445
"Antarcticibacterium sp. 1MA-6-2",325
"Aquimarina sp. AD1",343
"Aquimarina sp. AD10",426
"Aquimarina sp. BL5",471
"Aquimarina sp. TRL1",410
"Arenibacter algicola",433
"Capnocytophaga canimorsus",664
"Capnocytophaga cynodegmi",319
"Capnocytophaga endodontalis",330
"Capnocytophaga gingivalis",744
"Capnocytophaga haemolytica",955
"Capnocytophaga leadbetteri",592
"Capnocytophaga ochracea",605
"Capnocytophaga sp. FDAARGOS_737",579
"Capnocytophaga sp. H2931",127
"Capnocytophaga sp. H4358",263
"Capnocytophaga sp. oral taxon 323",129
"Capnocytophaga sp. oral taxon 864",107
"Capnocytophaga sp. oral taxon 878",504
"Capnocytophaga sp. oral taxon 902",147
"Capnocytophaga sputigena",1176
"Capnocytophaga stomatis",357
"Cellulophaga algicola",203
"Cellulophaga baltica",271
"Cellulophaga lytica",333
"Cellulophaga sp. HaHa_2_95",73
"Cellulophaga sp. HaHaR_3_176",417
"Cellulophaga sp. L1A9",330
"Changchengzhania lutea",316
"Constantimarinum furrinae",196
"Costertonia aggregata",576
"Croceibacter atlanticus",326
"Dokdonia donghaensis",118
"Dokdonia sp. 4H-3-7-5",202
"Dokdonia sp. Dokd-P16",133
"Dokdonia sp. MED134",139
"Dokdonia sp. PRO95",157
"Euzebyella marina",640
"Flagellimonas sp. CMM7",266
"Flagellimonas sp. HMM57",358
"Flavivirga eckloniae",486
"Flavobacterium album",758
"Flavobacterium alkalisoli",391
"Flavobacterium anhuiense",648
"Flavobacterium arcticum",286
"Flavobacterium branchiophilum",678
"Flavobacterium columnare",331
"Flavobacterium commune",354
"Flavobacterium covae",466
"Flavobacterium crassostreae",194
"Flavobacterium crocinum",490
"Flavobacterium davisii",418
"Flavobacterium endoglycinae",417
"Flavobacterium faecale",397
"Flavobacterium fluviale",389
"Flavobacterium gilvum",511
"Flavobacterium haoranii",636
"Flavobacterium indicum",403
"Flavobacterium inviolabile",733
"Flavobacterium johnsoniae",720
"Flavobacterium jumunjinense",13492
"Flavobacterium kingsejongi",353
"Flavobacterium magnum",416
"Flavobacterium nackdongense",422
"Flavobacterium nitrogenifigens",416
"Flavobacterium oreochromis",511
"Flavobacterium pallidum",612
"Flavobacterium psychrophilum",429
"Flavobacterium sangjuense",441
"Flavobacterium sediminis",817
"Flavobacterium sp. 140616W15",337
"Flavobacterium sp. CECT 9288",226
"Flavobacterium sp. CHNK8",265
"Flavobacterium sp. CJ74",544
"Flavobacterium sp. CLA17",521
"Flavobacterium sp. CS20",263
"Flavobacterium sp. F-29",477
"Flavobacterium sp. F-323",506
"Flavobacterium sp. F-340",357
"Flavobacterium sp. F-70",379
"Flavobacterium sp. GENT11",223
"Flavobacterium sp. GENT5",186
"Flavobacterium sp. HJ-32-4",950
"Flavobacterium sp. I3-2",2924
"Flavobacterium sp. KBS0721",419
"Flavobacterium sp. KK2020170",641
"Flavobacterium sp. KSM-R2A25",396
"Flavobacterium sp. KSM-R2A30",521
"Flavobacterium sp. LPB0248",254
"Flavobacterium sp. M31R6",489
"Flavobacterium sp. MDT1-60",822
"Flavobacterium sp. SHINM13",234
"Flavobacterium sp. SLB02",479
"Flavobacterium sp. Sr18",424
"Flavobacterium sp. WSW3-B6",414
"Flavobacterium sp. xlx-214",2019
"Formosa agariphila",228
"Formosa sediminum",293
"Formosa sp. Hel1_31_208",154
"Formosa sp. Hel1_33_131",254
"Formosa sp. Hel3_A1_48",128
"Formosa sp. L2A11",218
"Galbibacter sp. BG1",158
"Gillisia sp. Hel1_33_143",283
"Gilvibacter sp. SZ-19",278
"Gramella echinicola",152
"Gramella flava",489
"Gramella forsetii",303
"Gramella fulva",551
"Gramella salexigens",242
"Gramella sp. GC03-9",342
"Gramella sp. MAR_2010_147",116
"Gramella sp. MT6",378
"Kordia antarctica",422
"Kordia sp. SMS9",410
"Lacinutrix sp. 5H-3-7-4",275
"Lacinutrix sp. Bg11-31",187
"Lacinutrix sp. WUR7",280
"Lacinutrix venerupis",179
"Leeuwenhoekiella palythoae",296
"Leeuwenhoekiella sp. ZYFB001",159
"Lutibacter profundi",202
"Lutibacter sp. A64",433
"Lutibacter sp. A80",288
"Maribacter cobaltidurans",520
"Maribacter dokdonensis",65
"Maribacter hydrothermalis",394
"Maribacter sp. 1_2014MBL_MicDiv",391
"Maribacter sp. HTCC2170",250
"Maribacter sp. MJ134",303
"Mariniflexile sp. TRM1-10",420
"Marixanthomonas sp. SCSIO 43207",215
"Mesoflavibacter profundi",38
"Mesoflavibacter sp. SCSIO 43206",365
"Muricauda aquimarina",679
"Muricauda aurantiaca",356
"Muricauda lutaonensis",478
"Muricauda oceani",814
"Muricauda ruestringensis",399
"Muricauda sp. SCSIO 65647",388
"Muriicola soli",382
"Myroides fluvii",653
"Myroides odoratimimus",464
"Myroides odoratus",12640
"Myroides phaeus",391
"Myroides profundi",198
"Myroides sp. A21",110
"Myroides sp. ZB35",146
"Nonlabens dokdonensis",220
"Nonlabens marinus",183
"Nonlabens ponticola",246
"Nonlabens sp. Ci31",210
"Nonlabens sp. Hel1_33_55",372
"Nonlabens sp. MB-3u-79",164
"Nonlabens sp. MIC269",202
"Nonlabens sp. SY33080",17
"Nonlabens spongiae",433
"Oceanihabitans sp. IOP_32",298
"Olleya aquimaris",199
"Olleya sp. Bg11-27",161
"Olleya sp. HaHaR_3_96",157
"Polaribacter haliotis",272
"Polaribacter litorisediminis",467
"Polaribacter reichenbachii",228
"Polaribacter sejongensis",247
"Polaribacter sp. ALD11",314
"Polaribacter sp. BM10",61
"Polaribacter sp. G4M1",370
"Polaribacter sp. Hel1_33_78",291
"Polaribacter sp. KT 15",104
"Polaribacter sp. KT25b",317
"Polaribacter sp. L12M9",194
"Polaribacter sp. L3A8",356
"Polaribacter sp. MED152",210
"Polaribacter sp. NJDZ03",354
"Polaribacter sp. Q13",361
"Polaribacter sp. R2A056_3_33",130
"Polaribacter sp. SA4-10",320
"Polaribacter sp. SA4-12",291
"Polaribacter sp. SM13",310
"Polaribacter vadi",277
"Psychroflexus sp. ALD_RP9",182
"Psychroflexus torquis",184
"Psychroserpens sp. NJDZ02",150
"Pukyongia salina",242
"Robiginitalea biformata",462
"Sabulilitoribacter sp. BrNp1-15",247
"Salegentibacter mishustinae",457
"Salegentibacter salegens",360
"Salegentibacter sp. T436",856
"Sediminicola sp. YIK13",232
"Seonamhaeicola sp. S2-3",250
"Siansivirga zeaxanthinifaciens",235
"Sinomicrobium sp. HD2P242",698
"Tamlana carrageenivorans",368
"Tamlana sp. s12",491
"Tenacibaculum dicentrarchi",236
"Tenacibaculum jejuense",278
"Tenacibaculum maritimum",286
"Tenacibaculum mesophilum",218
"Tenacibaculum singaporense",284
"Tenacibaculum sp. SZ-18",262
"Tenacibaculum todarodis",277
"Urechidicola croceus",403
"Wenyingzhuangia fucanilytica",276
"Winogradskyella forsetii",592
"Winogradskyella helgolandensis",352
"Winogradskyella schleiferi",303
"Winogradskyella sediminis",168
"Winogradskyella sp. HaHa_3_26",290
"Winogradskyella sp. J14-2",234
"Winogradskyella sp. PC-19",260
"Winogradskyella sp. PG-2",197
"Zobellia galactanivorans",588
"Zunongwangia profunda",1325
"Zunongwangia sp. SCSIO 43204",1046
"Ichthyobacterium seriolicida",198
"Candidatus Sulcia muelleri",289
"Candidatus Walczuchella monophlebidarum",180
"Croceimicrobium hydrocarbonivorans",438
"Owenweeksia hongkongensis",398
"Apibacter raozihei",350
"Apibacter sp. B2966",107
"Apibacter sp. B3706",87
"Apibacter sp. ESL0404",21
"Apibacter sp. ESL0432",60
"Bergeyella cardium",305
"Chryseobacterium arthrosphaerae",898
"Chryseobacterium aureum",388
"Chryseobacterium balustinum",473
"Chryseobacterium bernardetii",168
"Chryseobacterium camelliae",814
"Chryseobacterium carnipullorum",711
"Chryseobacterium cucumeris",239
"Chryseobacterium gallinarum",467
"Chryseobacterium glaciei",411
"Chryseobacterium gleum",1212
"Chryseobacterium indologenes",1506
"Chryseobacterium indoltheticum",710
"Chryseobacterium joostei",441
"Chryseobacterium lactis",407
"Chryseobacterium manosquense",744
"Chryseobacterium nakagawai",298
"Chryseobacterium piperi",362
"Chryseobacterium rhizoplanae",295
"Chryseobacterium salivictor",376
"Chryseobacterium shandongense",20921
"Chryseobacterium sp. 3008163",369
"Chryseobacterium sp. 6424",507
"Chryseobacterium sp. C-17",443
"Chryseobacterium sp. cx-624",481
"Chryseobacterium sp. DH-B6",582
"Chryseobacterium sp. F4",2468
"Chryseobacterium sp. G0162",240
"Chryseobacterium sp. G0186",620
"Chryseobacterium sp. G0201",540
"Chryseobacterium sp. IHB B 17019",328
"Chryseobacterium sp. JV274",69
"Chryseobacterium sp. LJ668",582
"Chryseobacterium sp. MEBOG06",506
"Chryseobacterium sp. MEBOG07",380
"Chryseobacterium sp. PCH239",265
"Chryseobacterium sp. POL2",496
"Chryseobacterium sp. SNU WT5",302
"Chryseobacterium sp. StRB126",528
"Chryseobacterium sp. T16E-39",455
"Chryseobacterium sp. Y16C",930
"Chryseobacterium sp. ZHDP1",771
"Chryseobacterium sp.",523
"Chryseobacterium taklimakanense",949
"Cloacibacterium caeni",687
"Cloacibacterium normanense",300
"Cruoricaptor ignavus",1168
"Elizabethkingia anophelis",1758
"Elizabethkingia bruuniana",81
"Elizabethkingia meningoseptica",487
"Elizabethkingia miricola",316
"Elizabethkingia sp. 2-6",310
"Elizabethkingia sp. JS20170427COW",316
"Elizabethkingia ursingii",185
"Empedobacter brevis",27064
"Empedobacter falsenii",6633
"Empedobacter stercoris",854
"Epilithonimonas vandammei",1466
"Faecalibacter bovis",396
"Kaistella antarctica",262
"Kaistella Candidatus Kaistella beijingensis",517
"Kaistella carnis",204
"Kaistella daneshvariae",334
"Kaistella flava (ex Peng et al. 2021)",346
"Kaistella haifensis",442
"Kaistella jeonii",345
"Kaistella sp. 97-N-M2",394
"Kaistella sp. GW4-15",222
"Ornithobacterium rhinotracheale",635
"Riemerella anatipestifer",776
"Weeksella virosa",276
"Haliscomenobacter hydrossis",1106
"Saprospira grandis",314
"Anseongella ginsenosidimutans",690
"Mucilaginibacter celer",556
"Mucilaginibacter daejeonensis",724
"Mucilaginibacter ginkgonis",336
"Mucilaginibacter ginsenosidivorans",570
"Mucilaginibacter ginsenosidivorax",712
"Mucilaginibacter gossypii",310
"Mucilaginibacter gotjawali",576
"Mucilaginibacter mali",826
"Mucilaginibacter mallensis",754
"Mucilaginibacter paludis",704
"Mucilaginibacter rubeus",2203
"Mucilaginibacter sp. 14171R-50",462
"Mucilaginibacter sp. 21P",445
"Mucilaginibacter sp. F39-2",382
"Mucilaginibacter xinganensis",496
"Olivibacter sp. LS-1",610
"Olivibacter sp. SDN3",598
"Pedobacter aquae",544
"Pedobacter cryoconitis",428
"Pedobacter endophyticus",472
"Pedobacter ginsengisoli",392
"Pedobacter heparinus",507
"Pedobacter roseus",624
"Pedobacter schmidteae",638
"Pedobacter sp. D749",370
"Pedobacter sp. G11",435
"Pedobacter sp. HDW13",605
"Pedobacter sp. KBS0701",607
"Pedobacter sp. PACM 27299",587
"Pedobacter sp. Q8-18",400
"Pedobacter sp. SW-16",418
"Pedobacter steynii",564
"Pedobacter suwonensis",531
"Pseudopedobacter saltans",744
"Solitalea canadensis",424
"Solitalea sp. S2-8",392
"Sphingobacterium daejeonense",4370
"Sphingobacterium hotanense",8174
"Sphingobacterium lactis",1281
"Sphingobacterium mizutaii",3829
"Sphingobacterium multivorum",4033
"Sphingobacterium paramultivorum",738
"Sphingobacterium psychroaquaticum",600
"Sphingobacterium siyangense",755
"Sphingobacterium sp. B29",1102
"Sphingobacterium sp. CZ-2",1830
"Sphingobacterium sp. dk4302",1358
"Sphingobacterium sp. DR205",1114
"Sphingobacterium sp. G1-14",1459
"Sphingobacterium sp. ML3W",628
"Sphingobacterium sp. SRCM116780",478
"Sphingobacterium sp. UDSM-2020",787
"Sphingobacterium spiritivorum",2222
"Sphingobacterium thalpophilum",998
"Caldisericum exile",146
"Caldithrix abyssi",742
"Candidatus Chazhemtobacterium aquaticus",16
"Candidatus Minimicrobia vallesae",66
"Candidatus Nanosynbacter featherlites",245
"Candidatus Nanosynbacter lyticus",181
"Candidatus Nanosynbacter sp. HMT352",54
"Chlamydia abortus",44
"Chlamydia avium",56
"Chlamydia caviae",37
"Chlamydia pecorum",44
"Chlamydia pneumoniae",48
"Chlamydia psittaci",22
"Chlamydia trachomatis",12
"Chlamydiifrater phoenicopteri",10
"Candidatus Protochlamydia amoebophila",82
"Candidatus Protochlamydia naegleriophila",126
"Neochlamydia sp. S13",62
"Parachlamydia acanthamoebae",132
"Candidatus Rhabdochlamydia oedothoracis",46
"Candidatus Rhabdochlamydia porcellionis",57
"Simkania negevensis",44
"Waddlia chondrophila",124
"Chlorobaculum limnaeum",947
"Chlorobaculum parvum",470
"Chlorobaculum tepidum",544
"Chlorobium limicola",364
"Chlorobium phaeobacteroides",508
"Chlorobium phaeovibrioides",379
"Chloroherpeton thalassium",370
"Pelodictyon luteolum",695
"Pelodictyon phaeoclathratiforme",371
"Prosthecochloris aestuarii",378
"Prosthecochloris sp. CIB 2401",500
"Prosthecochloris sp. GSB1",791
"Prosthecochloris sp. HL-130-GSB",316
"Anaerolinea thermophila",722
"Brevefilum fermentans",290
"Pelolinea submarina",814
"Candidatus Promineofilum breve",1022
"Caldilinea aerophila",680
"Phototrophicus methaneseepsis",472
"Chloroflexus aggregans",336
"Chloroflexus aurantiacus",344
"Roseiflexus castenholzii",823
"Roseiflexus sp. RS-1",534
"Dehalococcoides mccartyi",2276
"Dehalogenimonas formicexedens",431
"Dehalogenimonas lykanthroporepellens",249
"Dehalogenimonas sp. GP",244
"Ktedonosporobacter rubrisoli",636
"Thermobaculum terrenum",199
"Tepidiforma bonchosmolovskayae",486
"Sphaerobacter thermophilus",568
"Thermomicrobium roseum",290
"Candidatus Babela massiliensis",56
"Desulfurispirillum indicum",565
"Coprothermobacter proteolyticus",73
"Chroococcidiopsis thermalis",384
"Anthocerotibacter panamensis",212
"Gloeobacter kilaueensis",392
"Gloeobacter morelensis",358
"Gloeobacter violaceus",335
"Thermostichus lividus",130
"Calditerrivibrio nitroreducens",256
"Deferribacter desulfuricans",210
"Denitrovibrio acetiphilus",428
"Flexistipes sinusarabici",384
"Geovibrio thiophilus",616
"Deinococcus actinosclerus",942
"Deinococcus deserti",420
"Deinococcus ficus",716
"Deinococcus geothermalis",675
"Deinococcus gobiensis",576
"Deinococcus irradiatisoli",522
"Deinococcus maricopensis",540
"Deinococcus metallilatus",869
"Deinococcus peraridilitoris",526
"Deinococcus proteolyticus",824
"Deinococcus psychrotolerans",370
"Deinococcus puniceus",354
"Deinococcus radiodurans",326
"Deinococcus radiophilus",549
"Deinococcus radiopugnans",510
"Deinococcus soli (ex Cha et al. 2016)",486
"Deinococcus sp. AJ005",440
"Deinococcus sp. KNUC1210",590
"Deinococcus sp. NW-56",509
"Deinococcus sp. TS-293",452
"Deinococcus wulumuqiensis",626
"Marinithermus hydrothermalis",302
"Meiothermus ruber",197
"Meiothermus silvanus",494
"Meiothermus taiwanensis",183
"Oceanithermus profundus",518
"Thermus aquaticus",346
"Thermus brockianus",110
"Thermus caldilimi",96
"Thermus oshimai",236
"Thermus parvatiensis",131
"Thermus sp. CCB_US3_UF1",213
"Thermus sp. NEB1569",146
"Thermus thermophilus",394
"Truepera radiovictrix",430
"Dictyoglomus Abyssogena phaseoliformis symbiont",67
"Dictyoglomus thermophilum",174
"Dictyoglomus turgidum",61
"Elusimicrobium minutum",954
"Endomicrobium Candidatus Endomicrobium trichonymphae",228
"Endomicrobium proavitum",344
"Fibrobacter succinogenes",4328
"Alicyclobacillus acidocaldarius",1646
"Alicyclobacillus sp. SO9",512
"Alicyclobacillus sp. TC",354
"Effusibacillus dendaii",854
"Kyrpidia spormannii",521
"Kyrpidia tusciae",404
"Tumebacillus algifaecis",868
"Tumebacillus avium",1340
"Aeribacillus pallidus",1087
"Alkalihalobacillus clausii",1025
"Alkalihalobacillus halodurans",522
"Alkalihalobacillus krulwichiae",662
"Alkalihalobacillus lehensis",363
"Alkalihalobacillus miscanthi",362
"Alkalihalophilus pseudofirmus",681
"Amphibacillus xylanus",476
"Anaerobacillus isosaccharinicus",638
"Anoxybacillus amylolyticus",497
"Anoxybacillus caldiproteolyticus",556
"Anoxybacillus flavithermus",1123
"Anoxybacillus gonensis",285
"Anoxybacillus sediminis",1463
"Anoxybacillus sp. PDR2",187
"Bacillus [Brevibacterium] frigoritolerans",1019
"Bacillus albus",260
"Bacillus altitudinis",878
"Bacillus amyloliquefaciens",7301
"Bacillus anthracis",3866
"Bacillus aquiflavi",843
"Bacillus atrophaeus",555
"Bacillus badius",1176
"Bacillus cereus",40197
"Bacillus cytotoxicus",1130
"Bacillus dafuensis",881
"Bacillus fonticola",496
"Bacillus glycinifermentans",1517
"Bacillus gobiensis",882
"Bacillus halotolerans",445
"Bacillus haynesii",82
"Bacillus inaquosorum",52
"Bacillus infantis",1499
"Bacillus licheniformis",808
"Bacillus luti",490
"Bacillus methanolicus",664
"Bacillus mobilis",28
"Bacillus mojavensis",601
"Bacillus mycoides",2609
"Bacillus nitratireducens",70
"Bacillus paralicheniformis",1425
"Bacillus paranthracis",568
"Bacillus pseudomycoides",1168
"Bacillus pumilus",2603
"Bacillus safensis",710
"Bacillus shivajii",772
"Bacillus siamensis",246
"Bacillus smithii",958
"Bacillus sonorensis",63
"Bacillus sp. 1NLA3E",947
"Bacillus sp. 7D3",657
"Bacillus sp. BD59S",49
"Bacillus sp. Cs-700",649
"Bacillus sp. FJAT-18017",1040
"Bacillus sp. FJAT-22090",1233
"Bacillus sp. FJAT-42376",810
"Bacillus sp. JAS24-2",54
"Bacillus sp. JS",110
"Bacillus sp. KH172YL63",1076
"Bacillus sp. LJBS06",320
"Bacillus sp. M4U3P1",433
"Bacillus sp. MBGLi79",63
"Bacillus sp. ms-22",82
"Bacillus sp. N1-1",651
"Bacillus sp. N3536",675
"Bacillus sp. N5-665",96
"Bacillus sp. NP157",427
"Bacillus sp. NP247",90
"Bacillus sp. NSP9.1",895
"Bacillus sp. OxB-1",704
"Bacillus sp. PAMC26543",84
"Bacillus sp. PAMC26568",639
"Bacillus sp. S3",1501
"Bacillus sp. SB49",826
"Bacillus sp. SYJ",73
"Bacillus sp. THAF10",869
"Bacillus sp. TK-2",41
"Bacillus sp. WP8",166
"Bacillus sp. Y1",806
"Bacillus spizizenii",408
"Bacillus subtilis",13845
"Bacillus tequilensis",524
"Bacillus thuringiensis",11214
"Bacillus toyonensis",450
"Bacillus vallismortis",838
"Bacillus velezensis",9179
"Bacillus weihaiensis",655
"Bacillus wiedmannii",570
"Caldalkalibacillus thermarum",808
"Caldibacillus thermoamylovorans",792
"Cytobacillus ciccensis",730
"Cytobacillus gottheilii",1218
"Cytobacillus kochii",786
"Cytobacillus oceanisediminis",1249
"Cytobacillus sp. CY-G",649
"Evansella cellulosilytica",618
"Fictibacillus arsenicus",685
"Fictibacillus phosphorivorans",833
"Geobacillus genomosp. 3",664
"Geobacillus sp. 46C-IIa",305
"Geobacillus sp. GHH01",86
"Geobacillus sp. JS12",36
"Geobacillus stearothermophilus",1444
"Geobacillus subterraneus",1558
"Geobacillus thermocatenulatus",559
"Geobacillus thermodenitrificans",287
"Geobacillus thermoleovorans",721
"Gracilibacillus salitolerans",598
"Halobacillus halophilus",585
"Halobacillus litoralis",517
"Halobacillus mangrovi",592
"Heyndrickxia oleronia",974
"Heyndrickxia vini",949
"Hydrogenibacillus sp. N12",802
"Lederbergia lenta",560
"Lentibacillus amyloliquefaciens",666
"Lentibacillus sp. CBA3610",729
"Lysinibacillus agricola",2970
"Lysinibacillus capsici",1577
"Lysinibacillus fusiformis",8692
"Lysinibacillus parviboronicapiens",4912
"Lysinibacillus sp. 2017",6924
"Lysinibacillus sp. ACHW1.5",1941
"Lysinibacillus sp. CD3-6",10394
"Lysinibacillus sp. GJ-1",1003
"Lysinibacillus sp. SGAir0095",2635
"Lysinibacillus sp. YS11",765
"Lysinibacillus sphaericus",15916
"Lysinibacillus timonensis",2448
"Lysinibacillus varians",2461
"Mangrovibacillus cuniculi",537
"Mesobacillus foraminis",1058
"Mesobacillus jeotgali",847
"Mesobacillus sp. S13",917
"Metabacillus dongyingensis",910
"Metabacillus litoralis",1251
"Metabacillus sediminilitoris",1001
"Metabacillus sp. B2-18",806
"Metabacillus sp. cB07",1128
"Metabacillus sp. KUDC1714",810
"Neobacillus drentensis",1339
"Neobacillus mesonae",1033
"Niallia circulans",1934
"Oceanobacillus iheyensis",489
"Oceanobacillus kimchii",309
"Oceanobacillus zhaokaii",535
"Parageobacillus caldoxylosilyticus",943
"Parageobacillus genomosp. 1",498
"Parageobacillus thermoglucosidasius",1096
"Parageobacillus toebii",933
"Paraliobacillus zengyii",710
"Peribacillus asahii",1108
"Peribacillus butanolivorans",828
"Peribacillus muralis",600
"Peribacillus psychrosaccharolyticus",997
"Peribacillus simplex",459
"Pontibacillus sp. ALD_SL1",691
"Pontibacillus sp. HMF3514",425
"Pradoshia sp. D12",861
"Priestia aryabhattai",116
"Priestia filamentosa",961
"Priestia flexa",846
"Priestia megaterium",5297
"Psychrobacillus glaciei",971
"Psychrobacillus sp. AK 1817",1258
"Psychrobacillus sp. INOP01",920
"Radiobacillus deserti",520
"Radiobacillus sp. 80",589
"Rossellomorea marisflavi",1927
"Rossellomorea vietnamensis",778
"Salicibibacter cibarius",559
"Salicibibacter cibi",850
"Salicibibacter halophilus",389
"Salicibibacter kimchii",310
"Salimicrobium jeotgali",580
"Salisediminibacterium beveridgei",707
"Salisediminibacterium selenitireducens",774
"Sediminibacillus sp. DP4-553-S",880
"Sutcliffiella cohnii",777
"Sutcliffiella horikoshii",1370
"Terribacillus aidingensis",532
"Terribacillus goriensis",726
"Virgibacillus dokdonensis",270
"Virgibacillus halodenitrificans",894
"Virgibacillus necropolis",664
"Virgibacillus phasianinus",524
"Virgibacillus sp. 6R",56
"Virgibacillus sp. Bac330",316
"Virgibacillus sp. Bac332",602
"Virgibacillus sp. MSP4-1",610
"Virgibacillus sp. NKC19-16",562
"Virgibacillus sp. SK37",921
"Weizmannia coagulans",3501
"Brochothrix thermosphacta",519
"Exiguobacterium mexicanum",539
"Exiguobacterium sibiricum",318
"Exiguobacterium sp. AT1b",315
"Exiguobacterium sp. Helios",433
"Exiguobacterium sp. N4-1P",402
"Exiguobacterium sp. PFWT01",90
"Listeria grayi",666
"Listeria innocua",1411
"Listeria ivanovii",693
"Listeria marthii",251
"Listeria monocytogenes",3685
"Listeria seeligeri",679
"Listeria sp. PSOL-1",278
"Listeria weihenstephanensis",408
"Listeria welshimeri",611
"Aneurinibacillus soli",885
"Brevibacillus agri",1274
"Brevibacillus brevis",2560
"Brevibacillus choshinensis",1240
"Brevibacillus composti",1239
"Brevibacillus formosus",286
"Brevibacillus laterosporus",1688
"Brevibacillus marinus",1020
"Brevibacillus sp. 7WMA2",240
"Brevibacillus sp. DP1.3A",303
"Brevibacillus sp. HD3.3A",1277
"Brevibacillus sp. MMS20-4M-10-Y",890
"Cohnella abietis",843
"Cohnella candidum",1513
"Cohnella cholangitidis",1080
"Cohnella sp. LGH",4430
"Cohnella sp. MFER-1",1179
"Paenibacillus agaridevorans",1984
"Paenibacillus albicereus",2749
"Paenibacillus albus",1470
"Paenibacillus algicola",1497
"Paenibacillus alvei",1170
"Paenibacillus antarcticus",631
"Paenibacillus azoreducens",1673
"Paenibacillus baekrokdamisoli",932
"Paenibacillus barcinonensis",1229
"Paenibacillus beijingensis",1626
"Paenibacillus borealis",1508
"Paenibacillus bovis",1542
"Paenibacillus brasilensis",705
"Paenibacillus cellulosilyticus",1525
"Paenibacillus cellulositrophicus",2105
"Paenibacillus chitinolyticus",1643
"Paenibacillus crassostreae",560
"Paenibacillus dendritiformis",1380
"Paenibacillus donghaensis",2008
"Paenibacillus durus",2394
"Paenibacillus glucanolyticus",906
"Paenibacillus graminis",900
"Paenibacillus guangzhouensis",1050
"Paenibacillus ihbetae",2027
"Paenibacillus jilunlii",949
"Paenibacillus kribbensis",1087
"Paenibacillus larvae",255241
"Paenibacillus lautus",1273
"Paenibacillus lentus",1118
"Paenibacillus lutimineralis",1397
"Paenibacillus lycopersici",2211
"Paenibacillus macerans",2270
"Paenibacillus mucilaginosus",3424
"Paenibacillus naphthalenovorans",1343
"Paenibacillus odorifer",1401
"Paenibacillus peoriae",2715
"Paenibacillus physcomitrellae",1281
"Paenibacillus polymyxa",12643
"Paenibacillus protaetiae",1426
"Paenibacillus psychroresistens",1048
"Paenibacillus rhizovicinus",1759
"Paenibacillus riograndensis",1098
"Paenibacillus sabinae",1347
"Paenibacillus sonchi",2114
"Paenibacillus sophorae",1220
"Paenibacillus sp. 19GGS1-52",1612
