"","MFMRCFS0322","MFMRCFS0422","MFMRCFS0522","MFMRCFS0622","MFMRCFS0722","MFMRCFS0822","MFMRCFS0922","MFMRCFS1022","MFMRCFS1122","MFMRCFS1222","MFMRCFS1322","MFMRCFS1422","MFMRCFS1522","MFMRCFS1622","MFMRCFS1722"
"Amycolatopsis keratiniphila",225,62,108,49,115,29,141,69,20,45,54,42,31,23,21
"Amycolatopsis mediterranei",206,76,120,82,138,72,146,139,60,46,76,49,34,12,14
"Amycolatopsis methanolica",118,41,63,43,84,42,94,71,67,47,55,37,18,16,0
"Amycolatopsis orientalis",129,32,81,29,69,31,75,62,107,67,27,20,20,17,19
"Amycolatopsis sp. AA4",146,61,131,44,82,45,92,78,33,42,61,21,19,25,0
"Amycolatopsis sp. BJA-103",126,39,58,52,42,27,103,58,30,19,41,30,21,0,0
"Amycolatopsis sp. CA-230715",200,98,183,64,151,73,135,89,121,50,81,48,34,20,10
"Amycolatopsis sp. DSM 110486",201,88,135,69,97,40,199,120,52,85,100,58,39,14,0
"Amycolatopsis sp. EV170708-02-1",198,48,66,66,53,40,107,80,42,40,31,21,22,27,0
"Amycolatopsis sp. FDAARGOS 1241",179,56,75,88,63,51,141,92,38,31,66,40,42,30,0
"Amycolatopsis sp. FU40",123,56,85,48,57,34,88,103,49,43,46,19,14,19,13
"Amycolatopsis sp. Hca4",224,130,98,103,148,50,156,122,171,64,87,50,54,29,12
"Amycolatopsis sp. TNS106",112,48,77,34,73,32,111,96,28,28,55,13,0,0,0
"Amycolatopsis sp. YIM 10",148,105,148,73,123,50,170,68,42,50,61,40,42,22,0
"Kibdelosporangium phytohabitans",223,89,139,101,149,50,206,104,70,38,109,32,52,32,33
"Kutzneria albida",226,96,129,54,79,53,135,74,27,54,54,44,28,20,0
"Kutzneria sp. CA-103260",295,114,173,64,149,48,175,112,47,46,72,52,60,24,15
"Lentzea guizhouensis",182,61,74,47,92,100,183,116,49,52,80,29,34,20,0
"Prauserella marina",126,56,76,42,42,30,102,66,52,24,76,20,18,0,0
"Pseudonocardia abyssalis",122,76,104,67,119,92,96,79,28,44,66,13,33,17,0
"Pseudonocardia autotrophica",364,79,134,101,120,77,162,163,39,136,131,86,22,21,0
"Pseudonocardia broussonetiae",179,65,94,44,74,65,203,107,42,65,86,27,42,13,0
"Pseudonocardia dioxanivorans",239,123,199,124,120,79,227,150,35,68,128,47,41,15,0
"Pseudonocardia sp. AL041005-10",92,187,85,44,59,16,119,54,28,97,25,24,17,16,0
"Pseudonocardia sp. CGMCC 4.1532",170,67,69,38,74,29,149,74,31,52,67,44,51,0,20
"Pseudonocardia sp. DSM 110487",254,106,120,44,126,86,218,122,324,130,112,46,38,24,10
"Pseudonocardia sp. HH130629-09",125,48,94,56,48,24,135,65,162,156,65,30,22,0,0
"Pseudonocardia sp. HH130630-07",218,89,139,64,152,72,161,134,62,160,71,30,48,29,0
"Saccharomonospora azurea",99,30,50,39,30,31,59,58,18,19,47,16,12,0,10
"Saccharomonospora cyanea",129,69,49,34,52,31,102,48,44,41,48,27,14,0,0
"Saccharomonospora glauca",104,33,72,48,50,69,88,97,0,21,58,26,0,0,0
"Saccharomonospora marina",97,47,78,54,45,34,71,37,58,33,35,26,12,18,0
"Saccharomonospora viridis",106,38,94,40,46,26,82,78,20,14,62,30,0,0,0
"Saccharomonospora xinjiangensis",76,26,32,24,48,16,50,58,14,0,48,16,0,0,0
"Saccharopolyspora erythraea",304,129,157,84,141,62,207,131,70,40,96,44,38,20,18
"Saccharopolyspora pogona",105,38,92,46,25,13,75,40,20,21,42,11,16,19,18
"Saccharopolyspora sp. ASAGF58",74,27,40,0,80,15,58,16,14,14,33,16,40,0,0
"Saccharopolyspora spinosa",119,40,58,29,58,27,54,87,33,28,54,31,18,11,0
"Saccharothrix espanaensis",196,96,89,52,114,36,140,98,38,28,116,75,37,31,17
"Saccharothrix sp. 6-C",164,86,204,62,86,57,175,80,69,63,74,34,34,28,0
"Saccharothrix syringae",278,134,165,196,144,75,174,161,63,83,118,48,41,28,22
"Epidermidibacterium keratini",1182,138,205,207,228,176,504,937,83,96,547,426,68,0,0
"Kitasatospora albolonga",104,32,59,39,58,24,90,79,31,73,78,22,45,0,0
"Kitasatospora aureofaciens",137,83,155,50,121,36,106,72,50,23,61,36,27,18,0
"Kitasatospora setae",215,89,112,55,119,53,202,98,54,35,78,44,40,12,0
"Kitasatospora sp. MMS16-BH015",210,107,103,80,111,47,145,84,33,23,99,31,23,23,0
"Kitasatospora sp. NA04385",159,142,141,73,162,40,124,75,56,29,73,48,41,16,13
"Streptacidiphilus bronchialis",155,88,124,46,121,38,186,81,46,29,75,29,18,0,0
"Streptacidiphilus sp. P02-A3a",327,116,109,90,179,67,148,107,38,47,71,69,39,27,0
"Streptacidiphilus sp. PB12-B1b",148,96,99,69,106,73,150,81,43,15,61,27,27,0,12
"Streptomyces actuosus",206,59,59,69,65,41,136,90,146,76,75,31,35,33,18
"Streptomyces albidoflavus",159,154,312,0,366,0,183,135,0,256,110,0,0,0,0
"Streptomyces albireticuli",281,132,114,69,84,36,185,118,45,26,99,39,49,0,19
"Streptomyces alboflavus",166,86,115,66,129,52,156,171,113,45,82,35,29,20,16
"Streptomyces alboniger",118,48,64,31,68,22,104,79,46,12,47,34,23,0,0
"Streptomyces albulus",154,65,76,50,96,63,128,73,43,47,56,40,41,25,0
"Streptomyces albus",288,143,191,144,221,66,324,172,110,91,147,84,72,31,11
"Streptomyces alfalfae",918,0,413,0,810,465,479,210,0,418,171,0,0,0,0
"Streptomyces ambofaciens",170,41,41,54,96,39,115,71,35,30,73,30,28,38,21
"Streptomyces angustmyceticus",106,50,88,44,90,34,95,74,36,38,48,24,24,0,0
"Streptomyces antibioticus",213,80,96,65,115,60,151,124,41,38,71,57,14,33,16
"Streptomyces antimycoticus",51,15,25,0,0,25,52,85,77,0,70,0,0,38,0
"Streptomyces anulatus",249,110,128,115,128,95,206,193,152,54,137,69,75,65,0
"Streptomyces aquilus",174,229,133,55,126,67,117,81,76,65,52,35,32,12,0
"Streptomyces armeniacus",216,110,120,50,136,42,252,100,66,40,94,38,36,36,14
"Streptomyces asoensis",191,57,127,58,91,45,150,76,68,61,68,36,23,15,0
"Streptomyces atratus",167,55,161,63,94,29,108,72,44,31,49,28,30,21,0
"Streptomyces auratus",66,17,66,14,61,21,51,11,68,32,21,16,25,0,0
"Streptomyces aureoverticillatus",141,93,89,55,127,35,177,105,29,29,68,31,13,16,17
"Streptomyces autolyticus",137,59,64,0,74,0,95,50,0,0,41,0,0,0,0
"Streptomyces avermitilis",133,52,61,39,87,30,92,88,45,30,42,31,0,20,0
"Streptomyces bathyalis",172,52,94,44,86,42,154,66,38,40,68,48,30,12,12
"Streptomyces bingchenggensis",233,81,151,75,146,66,184,134,62,61,95,57,29,24,14
"Streptomyces broussonetiae",115,50,93,48,62,32,183,83,15,19,95,37,20,0,0
"Streptomyces buecherae",275,120,175,84,208,101,210,158,104,66,104,85,55,21,0
"Streptomyces cadmiisoli",198,84,113,50,74,43,146,91,45,56,57,26,25,22,14
"Streptomyces californicus",254,0,129,0,87,0,91,44,115,76,0,0,0,0,0
"Streptomyces calvus",130,66,51,36,63,24,74,40,92,51,33,25,31,19,0
"Streptomyces capitiformicae",185,83,73,39,88,37,159,83,35,37,62,38,27,26,16
"Streptomyces cattleya",159,121,155,54,95,38,153,98,58,48,96,46,47,14,12
"Streptomyces cavourensis",89,64,50,47,46,0,84,44,32,25,0,0,46,0,0
"Streptomyces chartreusis",320,134,164,99,193,73,273,159,135,117,138,71,66,31,27
"Streptomyces chromofuscus",134,56,80,32,53,30,84,41,19,41,37,24,0,0,0
"Streptomyces cinereoruber",183,0,228,0,148,0,62,0,371,0,0,0,0,0,0
"Streptomyces clavuligerus",192,81,124,62,108,53,129,79,37,37,73,38,27,30,18
"Streptomyces coelicolor",174,0,0,0,0,0,92,0,0,0,0,0,0,0,0
"Streptomyces coeruleorubidus",100,32,75,34,61,13,64,33,29,29,36,36,12,0,0
"Streptomyces collinus",168,21,149,39,115,34,218,105,37,24,79,35,30,0,26
"Streptomyces cyaneochromogenes",178,53,106,68,137,24,129,136,54,37,95,46,31,13,0
"Streptomyces cyaneogriseus",90,77,62,25,77,27,75,59,36,27,52,33,16,0,0
"Streptomyces cyanogenus",103,26,98,72,54,21,72,79,35,18,37,28,0,0,0
"Streptomyces dangxiongensis",102,28,35,33,70,29,119,79,21,33,59,34,30,0,0
"Streptomyces davaonensis",172,101,129,62,90,55,156,90,44,55,107,37,22,16,21
"Streptomyces deccanensis",139,50,68,37,80,46,113,114,42,25,64,34,25,15,0
"Streptomyces decoyicus",108,62,51,40,94,121,117,62,35,57,56,20,27,0,0
"Streptomyces dengpaensis",121,37,55,44,60,25,107,59,35,27,41,39,15,0,0
"Streptomyces exfoliatus",155,51,68,47,75,66,140,88,31,28,67,33,11,0,18
"Streptomyces fagopyri",131,65,51,35,45,41,132,96,39,19,60,27,0,18,0
"Streptomyces ferrugineus",127,43,58,34,88,32,110,70,42,38,60,35,29,12,24
"Streptomyces ficellus",165,72,38,22,78,35,160,85,33,28,83,30,0,0,0
"Streptomyces finlayi",147,41,70,45,44,26,145,100,41,25,39,17,27,12,0
"Streptomyces fodineus",107,42,44,17,55,54,103,69,22,30,58,23,25,15,0
"Streptomyces formicae",106,49,96,46,75,72,104,85,41,25,51,36,25,38,0
"Streptomyces fradiae",103,92,89,0,0,0,2207,0,139,0,67,49,0,0,0
"Streptomyces fungicidicus",83,58,82,104,0,0,140,43,0,0,85,0,110,0,0
"Streptomyces galilaeus",126,44,46,39,51,32,133,95,19,25,70,40,15,0,0
"Streptomyces gardneri",86,41,52,37,68,22,129,57,34,31,76,14,30,26,20
"Streptomyces genisteinicus",183,82,82,71,104,81,199,103,70,45,83,45,21,15,20
"Streptomyces gilvosporeus",153,44,102,52,114,47,137,73,32,30,67,40,18,14,0
"Streptomyces glaucescens",131,61,81,56,67,43,101,130,48,31,92,17,24,0,0
"Streptomyces globisporus",178,103,56,22,66,126,163,105,163,64,82,39,0,0,0
"Streptomyces globosus",160,130,252,65,225,61,171,140,48,64,122,63,34,55,22
"Streptomyces glomeroaurantiacus",173,77,112,45,161,33,109,71,35,45,59,34,23,11,14
"Streptomyces gobiensis",160,36,69,30,61,30,147,68,24,24,46,36,36,16,0
"Streptomyces griseocarneus",205,59,98,45,93,39,150,52,23,43,82,21,31,19,17
"Streptomyces griseochromogenes",168,79,131,59,96,71,102,87,56,52,37,35,27,25,0
"Streptomyces griseofuscus",349,0,277,0,325,0,690,588,0,0,347,0,0,0,0
"Streptomyces griseorubiginosus",204,131,158,60,136,50,177,132,82,39,79,42,42,21,0
"Streptomyces griseoviridis",143,80,191,42,163,35,153,123,39,48,74,30,19,0,0
"Streptomyces griseus",223,75,99,64,213,59,140,111,77,53,95,37,23,24,0
"Streptomyces harbinensis",144,52,87,41,83,30,163,103,39,40,66,30,35,10,11
"Streptomyces hawaiiensis",105,41,67,46,46,65,83,72,16,18,44,23,14,0,0
"Streptomyces huasconensis",131,41,37,37,68,24,131,72,29,15,74,17,20,17,0
"Streptomyces hundungensis",223,86,79,74,114,61,150,77,27,22,68,30,37,14,20
"Streptomyces hygroscopicus",504,204,331,153,332,148,219,194,148,129,212,64,64,122,84
"Streptomyces incarnatus",103,27,55,35,87,26,98,56,41,24,43,10,28,0,26
"Streptomyces inhibens",107,129,119,26,84,28,116,51,24,43,49,25,22,30,23
"Streptomyces kanamyceticus",126,29,65,44,122,43,166,104,22,26,71,31,23,0,0
"Streptomyces katrae",145,60,88,61,76,35,108,114,22,22,61,25,21,16,0
"Streptomyces koyangensis",104,71,89,67,101,48,118,59,65,42,43,18,0,0,0
"Streptomyces lavendulae",161,95,130,60,104,54,114,68,34,22,68,46,32,20,0
"Streptomyces leeuwenhoekii",87,42,26,27,47,33,122,64,26,23,41,27,0,19,0
"Streptomyces liangshanensis",152,51,83,58,86,52,178,126,19,33,69,19,13,0,0
"Streptomyces lincolnensis",148,74,132,61,150,40,117,98,55,42,65,41,39,0,12
"Streptomyces lividans",12147,0,0,0,0,0,0,3129,0,0,3792,0,4467,0,0
"Streptomyces lunaelactis",153,47,77,57,63,41,125,85,26,24,61,20,25,12,0
"Streptomyces luteoverticillatus",179,62,122,56,111,36,145,119,34,29,91,34,36,21,0
"Streptomyces lydicus",452,229,331,196,327,144,328,247,125,98,202,101,126,73,40
"Streptomyces malaysiensis",79,53,58,95,0,0,38,69,0,0,52,0,0,0,0
"Streptomyces microflavus",238,72,185,79,59,0,228,101,95,130,95,60,116,0,0
"Streptomyces mirabilis",306,220,0,0,403,0,0,0,0,0,0,0,0,0,0
"Streptomyces mobaraensis",700,1191,717,69,53,40,1256,1485,33,35,1457,977,13,0,0
"Streptomyces murinus",42,110,101,90,126,0,31,36,0,0,0,0,0,0,0
"Streptomyces nigra",129,51,73,34,72,24,122,62,29,51,72,40,21,19,0
"Streptomyces nitrosporeus",221,51,105,79,96,27,117,63,60,33,86,58,26,18,0
"Streptomyces niveus",275,195,168,120,150,91,216,162,64,65,131,62,60,26,24
"Streptomyces nodosus",126,34,81,62,119,31,93,71,35,33,48,22,27,11,0
"Streptomyces nojiriensis",97,65,108,55,77,26,147,71,32,34,77,31,31,20,0
"Streptomyces noursei",112,0,178,0,0,0,81,0,0,0,0,0,0,0,0
"Streptomyces olivaceus",291,72,148,100,116,105,292,108,152,99,75,38,165,0,0
"Streptomyces olivoreticuli",126,77,77,59,143,53,147,103,49,44,84,46,31,26,25
"Streptomyces pactum",130,40,64,29,76,26,91,54,31,24,54,25,11,18,0
"Streptomyces paludis",143,48,100,68,104,69,161,116,62,46,88,39,53,16,0
"Streptomyces parvulus",120,47,73,36,55,13,68,104,20,29,70,23,0,0,0
"Streptomyces peucetius",164,47,119,64,134,52,117,138,47,24,71,53,33,23,0
"Streptomyces phaeolivaceus",173,68,98,49,116,32,89,101,34,49,68,37,52,27,0
"Streptomyces platensis",109,24,19,30,43,35,70,21,0,13,26,11,19,0,0
"Streptomyces pluripotens",110,59,82,45,78,24,97,73,29,39,65,34,29,0,0
"Streptomyces prasinus",125,41,94,25,49,29,111,114,43,25,61,30,21,13,14
"Streptomyces pratensis",195,54,72,40,51,35,110,96,48,38,53,32,22,0,0
"Streptomyces pristinaespiralis",143,55,66,49,78,39,98,145,33,23,91,31,18,17,21
"Streptomyces qaidamensis",145,86,99,112,89,18,85,70,55,20,40,40,17,0,0
"Streptomyces qinzhouensis",167,67,64,42,72,48,124,92,50,27,53,20,27,11,0
"Streptomyces rapamycinicus",182,50,129,45,95,39,174,85,84,61,56,39,27,19,11
"Streptomyces rectiverticillatus",154,57,101,73,69,40,150,118,33,35,66,42,23,23,0
"Streptomyces rimosus",218,98,127,66,152,33,216,108,56,24,53,43,25,0,0
"Streptomyces rochei",0,0,0,0,190,0,0,0,0,0,0,0,0,0,0
"Streptomyces roseirectus",140,53,82,54,95,69,173,123,29,37,78,37,25,11,19
"Streptomyces roseochromogenus",112,46,63,37,69,41,123,48,48,19,52,27,25,0,0
"Streptomyces rubrolavendulae",84,0,132,134,138,0,49,0,0,0,60,0,0,0,0
"Streptomyces rutgersensis",117,46,66,51,94,53,130,71,26,28,66,52,30,37,0
"Streptomyces sampsonii",97,0,0,0,0,155,0,0,0,0,80,0,0,0,0
"Streptomyces scabiei",0,0,0,0,0,0,154,398,0,0,0,0,0,0,0
"Streptomyces seoulensis",198,126,187,101,193,82,231,172,68,83,117,62,88,28,20
"Streptomyces sp. 11-1-2",140,36,51,0,0,0,41,0,0,0,0,27,0,0,0
"Streptomyces sp. 135",140,117,127,45,86,33,112,79,43,47,63,36,27,16,19
"Streptomyces sp. 2114.2",174,0,0,0,222,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. 2323.1",93,33,58,30,50,0,87,62,13,32,47,19,16,0,0
"Streptomyces sp. 3211",86,34,35,46,76,29,79,20,73,40,50,64,69,0,0
"Streptomyces sp. 3214.6",183,83,98,58,91,41,186,105,56,44,80,24,54,19,0
"Streptomyces sp. 604F",0,365,234,0,134,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. 769",102,62,55,56,57,39,99,50,57,33,55,18,37,0,0
"Streptomyces sp. A1-5",82,0,0,223,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. A144",161,0,50,231,0,0,155,0,193,0,65,0,0,0,0
"Streptomyces sp. A2-16",134,40,117,56,47,17,103,67,49,51,69,38,14,0,0
"Streptomyces sp. ADI95-16",75,43,99,33,51,50,113,59,72,55,37,47,31,0,0
"Streptomyces sp. AgN23",101,27,52,34,49,35,71,57,0,39,39,16,44,0,0
"Streptomyces sp. AMCC400023",154,72,129,86,106,63,116,124,63,39,89,52,40,64,0
"Streptomyces sp. BH-MK-02",160,55,88,50,89,52,144,104,65,48,94,47,45,25,31
"Streptomyces sp. BHT-5-2",141,150,110,59,102,37,151,75,33,45,60,27,25,0,0
"Streptomyces sp. BSE6.1",81,0,33,0,31,0,60,33,0,0,66,0,0,0,0
"Streptomyces sp. C8S0",105,47,63,40,107,51,184,75,34,29,68,37,27,16,0
"Streptomyces sp. CB00271",85,88,74,42,68,33,49,51,83,0,41,0,0,0,0
"Streptomyces sp. CB01881",872,203,165,100,206,60,208,333,53,55,309,87,66,21,25
"Streptomyces sp. CB04723",140,0,26,40,28,0,43,37,37,42,23,39,0,0,0
"Streptomyces sp. CB09001",103,56,111,53,100,18,71,53,25,35,44,32,28,21,0
"Streptomyces sp. CCM_MD2014",82,42,55,38,41,72,120,59,53,28,61,24,51,0,0
"Streptomyces sp. CdTB01",214,63,127,88,122,70,165,115,66,52,95,40,30,31,0
"Streptomyces sp. CFMR 7",59,35,50,67,50,31,67,68,0,80,52,0,0,0,0
"Streptomyces sp. CLI2509",120,0,32,0,30,0,178,69,0,116,127,101,0,0,0
"Streptomyces sp. CMB-StM0423",154,40,78,41,72,25,101,80,33,50,67,20,20,13,0
"Streptomyces sp. CNQ-509",63,51,37,18,48,21,70,73,22,46,53,21,0,30,0
"Streptomyces sp. CRSS-Y-16",195,131,0,0,50,0,148,87,0,0,144,0,0,0,0
"Streptomyces sp. DSM 40868",138,73,139,51,117,39,107,129,106,47,83,29,23,14,0
"Streptomyces sp. EAS-AB2608",96,45,50,56,26,33,68,36,108,28,29,28,0,0,0
"Streptomyces sp. endophyte_N2",67,0,52,0,0,78,33,49,0,0,0,0,0,0,0
"Streptomyces sp. F8",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. fd1-xmd",112,91,75,48,58,26,103,59,131,60,37,13,114,53,56
"Streptomyces sp. FR-008",113,0,0,0,0,0,124,0,0,0,0,0,0,0,0
"Streptomyces sp. FR1",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. GF20",0,0,0,0,0,0,0,87,0,163,82,0,0,0,0
"Streptomyces sp. GMY02",206,77,105,65,99,38,133,84,40,42,93,42,49,16,0
"Streptomyces sp. Go-475",86,82,93,51,79,36,115,68,35,50,47,54,31,20,22
"Streptomyces sp. Go 40/10",128,72,88,75,105,34,97,70,54,39,69,20,24,21,0
"Streptomyces sp. GQFP",158,57,61,43,55,58,111,89,37,41,22,41,45,22,0
"Streptomyces sp. GS7",235,60,93,59,84,45,185,78,79,49,66,23,40,21,0
"Streptomyces sp. HF10",83,58,38,79,75,18,93,37,22,23,41,0,0,0,0
"Streptomyces sp. HM190",117,67,103,49,83,37,108,88,40,44,76,30,0,18,0
"Streptomyces sp. HSG2",70,26,70,28,48,56,104,96,38,28,76,28,12,0,0
"Streptomyces sp. ID38640",48,55,49,26,35,20,44,29,21,23,24,0,0,0,0
"Streptomyces sp. INR7",151,89,135,63,97,37,108,62,99,83,62,45,35,34,0
"Streptomyces sp. JB150",163,66,136,34,131,27,156,107,38,44,95,29,61,0,24
"Streptomyces sp. jing01",120,43,51,28,39,62,65,69,12,37,41,23,0,0,0
"Streptomyces sp. LBUM 1480",0,0,291,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. M2",122,0,0,0,64,0,91,0,0,0,162,0,0,0,0
"Streptomyces sp. M54",220,87,0,80,0,0,48,0,0,0,0,0,0,0,0
"Streptomyces sp. M56",71,0,67,0,77,0,0,38,0,0,0,38,0,0,0
"Streptomyces sp. MA3_2.13",178,84,126,68,120,50,178,138,70,88,84,56,48,26,12
"Streptomyces sp. MBT27",197,108,89,43,103,49,129,102,47,51,80,37,38,45,16
"Streptomyces sp. Mg1",103,41,61,18,56,67,103,43,20,30,38,48,45,46,0
"Streptomyces sp. MG28",106,49,89,27,131,40,141,92,36,36,65,30,35,0,0
"Streptomyces sp. MG62",106,38,61,53,96,44,105,64,51,44,105,29,0,16,0
"Streptomyces sp. MOE7",96,22,56,49,154,20,79,42,56,29,18,0,0,0,0
"Streptomyces sp. NA02536",73,0,62,0,0,0,72,63,0,0,0,0,0,0,0
"Streptomyces sp. NA02950",165,72,94,56,107,42,184,111,58,69,88,33,34,40,16
"Streptomyces sp. NA03103",0,0,0,0,0,0,111,46,0,0,0,0,0,0,0
"Streptomyces sp. NA04227",164,65,92,90,76,22,148,69,41,16,55,34,34,20,0
"Streptomyces sp. NBU3104",166,0,0,0,0,0,59,0,0,163,0,0,0,0,0
"Streptomyces sp. NEAU-S7GS2",104,19,33,30,55,16,93,56,32,20,50,0,25,0,0
"Streptomyces sp. NEAU-sy36",139,55,72,51,77,39,97,81,42,46,75,25,24,21,0
"Streptomyces sp. NHF165",193,94,149,105,137,46,194,126,127,74,106,48,81,16,17
"Streptomyces sp. OUCMDZ-3434",192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. P3",216,45,64,54,61,42,133,78,36,64,68,39,96,22,0
"Streptomyces sp. PAMC 26508",144,0,0,0,29,147,131,46,0,0,0,0,0,0,0
"Streptomyces sp. PBH53",124,40,23,55,33,38,84,71,31,27,60,38,0,0,0
"Streptomyces sp. PVA_94-07",299,0,0,0,0,0,485,0,0,0,0,0,0,0,0
"Streptomyces sp. QHH-9511",147,69,161,117,49,61,157,79,35,24,37,31,16,0,0
"Streptomyces sp. R527F",0,0,224,348,0,0,0,149,0,0,0,0,0,0,0
"Streptomyces sp. Rer75",121,42,72,39,55,28,169,78,38,39,69,26,20,0,0
"Streptomyces sp. RLB1-33",413,448,193,466,340,526,308,220,329,0,122,259,0,0,0
"Streptomyces sp. RLB1-9",0,0,0,0,999,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. RLB3-17",0,0,318,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. RPA4-2",133,55,69,44,59,32,138,85,33,46,60,44,26,0,0
"Streptomyces sp. RPA4-5",52,35,33,32,39,36,67,51,42,31,56,38,83,18,0
"Streptomyces sp. RTd22",154,54,51,45,78,32,130,72,35,34,79,34,21,0,0
"Streptomyces sp. S063",96,41,54,21,58,64,78,48,32,19,42,20,29,0,0
"Streptomyces sp. S1A1-7",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. S1D4-14",0,0,0,0,0,0,0,1056,0,0,0,0,0,0,0
"Streptomyces sp. S1D4-20",0,0,538,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces sp. S4.7",102,69,84,49,79,40,109,78,29,37,58,17,19,0,21
"Streptomyces sp. S501",153,0,54,0,0,0,78,0,0,0,88,0,0,0,0
"Streptomyces sp. S8",115,32,50,33,44,26,105,66,27,38,53,33,31,25,0
"Streptomyces sp. SAT1",168,74,95,66,144,51,172,103,64,53,97,37,27,14,0
"Streptomyces sp. SCSIO 3032",84,29,46,31,36,29,88,34,30,20,42,13,19,0,0
"Streptomyces sp. SCSIO 64649",91,42,57,49,36,29,118,75,30,27,70,20,0,0,0
"Streptomyces sp. SCUT-3",164,51,102,49,92,49,142,133,28,39,69,33,29,10,15
"Streptomyces sp. SGAir0924",61,0,29,123,27,0,139,46,0,0,125,0,0,0,0
"Streptomyces sp. Sge12",59,38,37,26,61,0,48,29,52,34,29,39,0,0,0
"Streptomyces sp. SirexAA-E",108,52,93,43,94,45,140,68,41,38,32,26,30,0,0
"Streptomyces sp. SM18",177,116,185,32,168,38,245,66,115,47,80,26,40,25,0
"Streptomyces sp. SN-593",284,105,158,65,197,59,260,155,95,73,126,40,38,18,10
"Streptomyces sp. So13.3",228,78,141,61,115,60,195,84,77,75,82,36,24,23,0
"Streptomyces sp. SS52",0,0,0,0,28,144,0,0,0,0,85,0,0,0,0
"Streptomyces sp. ST1015",147,76,157,65,110,40,161,88,42,31,86,31,32,0,19
"Streptomyces sp. SUK 48",116,51,60,51,59,48,99,56,29,18,38,29,26,0,0
"Streptomyces sp. SYP-A7193",120,50,68,68,61,57,139,90,23,29,49,24,54,66,0
"Streptomyces sp. TN58",86,60,67,46,76,29,132,89,27,29,57,32,63,34,59
"Streptomyces sp. Tu 2975",198,110,78,38,101,36,71,87,51,43,77,23,35,14,0
"Streptomyces sp. Tu6071",162,96,44,0,26,0,91,56,0,147,58,99,0,0,0
"Streptomyces sp. Tue 6075",133,30,54,46,65,19,38,41,0,29,35,18,0,0,0
"Streptomyces sp. V17-9",94,72,34,0,27,0,73,28,0,0,0,0,0,0,0
"Streptomyces sp. VN1",152,85,0,0,216,0,67,71,0,0,0,0,0,0,0
"Streptomyces sp. W1SF4",164,70,87,63,93,60,154,103,47,42,61,40,27,0,0
"Streptomyces sp. WA1-19",193,0,0,0,0,0,0,0,0,0,0,132,0,0,0
"Streptomyces sp. WA6-1-16",143,33,41,23,73,55,102,56,20,33,45,38,0,0,0
"Streptomyces sp. WAC 01438",152,68,81,28,104,58,144,50,52,37,49,33,47,22,0
"Streptomyces sp. WAC 01529",128,45,71,30,61,36,109,66,49,32,55,34,28,0,21
"Streptomyces sp. WAC 06738",93,24,46,52,54,22,124,57,42,20,59,43,34,0,0
"Streptomyces sp. WAC00288",219,0,110,0,0,0,77,0,0,199,98,84,0,0,0
"Streptomyces sp. WY228",101,36,59,42,78,41,147,89,27,53,44,25,20,0,0
"Streptomyces sp. XC 2026",77,35,15,22,30,17,20,34,15,29,41,0,30,0,0
"Streptomyces sp. YIM 121038",224,62,88,65,87,47,205,93,50,54,81,50,29,22,21
"Streptomyces sp. YPW6",160,28,93,37,54,21,114,68,22,34,43,15,17,30,0
"Streptomyces sp. Z423-1",154,91,154,72,78,40,112,68,38,40,39,50,20,14,25
"Streptomyces sp. ZYC-3",176,75,91,60,100,51,141,65,51,62,81,38,30,26,0
"Streptomyces spectabilis",235,98,130,73,121,76,281,145,46,50,103,69,58,15,14
"Streptomyces spongiicola",83,34,41,31,52,27,107,76,40,44,46,24,27,0,16
"Streptomyces subrutilus",230,107,149,50,147,40,131,74,47,44,51,34,50,30,25
"Streptomyces tendae",190,59,59,53,53,32,72,77,30,35,63,25,35,18,0
"Streptomyces tirandamycinicus",174,68,62,61,74,34,117,70,42,28,49,42,28,15,0
"Streptomyces tsukubensis",303,114,197,119,206,73,233,137,212,118,131,53,85,55,26
"Streptomyces tuirus",117,32,81,28,53,18,67,53,53,16,32,19,23,0,0
"Streptomyces venezuelae",997,456,689,275,580,301,870,510,275,240,405,209,168,71,84
"Streptomyces vietnamensis",169,65,90,45,89,49,160,77,54,58,60,47,38,40,19
"Streptomyces vinaceus",97,47,54,46,53,38,110,42,27,41,51,27,22,0,0
"Streptomyces violaceoruber",136,0,146,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces violaceusniger",73,41,75,25,56,18,75,48,16,16,50,21,0,0,0
"Streptomyces viridosporus",138,90,76,42,97,31,81,43,29,33,41,43,28,16,15
"Streptomyces xanthii",166,83,93,52,125,40,170,89,43,49,79,49,34,0,0
